"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FB1";"FB";1;"FerriteBead";;;
2;"D18,D10,D24,D13,D19,D15";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"LED_Red";;;
3;"R1,R17,R16,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
4;"J8";"CONN_B4B-XH-A_JSTProject";1;"IMU_2";;;
5;"R4,R10,R6,R5,R7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"270";;;
6;"R14,R23,R11,R22,R19,R18,R21,R9,R24,R25,R26,R20,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";13;"150";;;
7;"Ccomp1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10 pF";;;
8;"D16,D11,D11";"D_SOD-323_HandSoldering";3;"BAT60JFILM";;;
9;"J6";"USB_A_Receptacle_GCT_USB1046";1;"USB_A";;;
10;"J7";"CONN_B4B-XH-A_JSTProject";1;"IMU_1";;;
11;"D28,D26,D30,D25,D27,D29";"SOT-23";6;"BZX84Cxx";;;
12;"D20,D3,D4,D14,D21,D1,D23,D9,D2,D6,D5,D7";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";12;"LED_Blue";;;
13;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100 nF";;;
14;"D12";"D_SOD-123";1;"BAT60JFILM";;;
15;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100 uF";;;
16;"D22";"PRT";1;"PRTR5V0U2X";;;
17;"Css1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"8.2 nF";;;
18;"D17,D8";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED_Green";;;
19;"R27,R28,R30,R31,R29,R32";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"20";;;
20;"L1";"inductor";1;"6.8 uH";;;
21;"U5";"SOT-323_SC-70_Handsoldering";1;"MAX7375AXR805";;;
22;"J2";"IDC-Header_2x05_P2.54mm_Vertical";1;"Programming Header";;;
23;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1 uF";;;
24;"C12,C3,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7 uF";;;
25;"Rcomp1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"13.7 k";;;
26;"C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
27;"J3";"CONN_B4B-XH-A_JSTProject";1;"SDOAG_Connector";;;
28;"U3";"SOT-223";1;"LM1117MP-ADJ";;;
29;"Rfbb1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.24 k";;;
30;"J5";"CONN_B4B-XH-A_JSTProject";1;"Ultrasonic";;;
31;"Rfbt1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10.2 k";;;
32;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"270";;;
33;"C5,C11,C8,C7,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;".1 uF";;;
34;"SW1";"SW_TS04-66-55-BK-160-SMT";1;"Reset Switch";;;
35;"R3,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100K";;;
36;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F091RCTx";;;
37;"Cout1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47 uF";;;
38;"Q1";"SOT-23-3";1;"BSS138";;;
39;"J4";"CONN_B4B-XH-A_JSTProject";1;"Power_Connector";;;
40;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10 nF";;;
41;"Cin1,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10 uF";;;
42;"C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;".1uF";;;
43;"U2";"Project_FT232";1;"FT232RL";;;
44;"U4";"Project_TPS";1;"TPS54331QDRQ1";;;
45;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220";;;
46;"Ccomp2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.7 nF";;;
47;"Cboot1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100 nF";;;
48;"R34,R33,R35,R36";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"4.7k";;;
